nombre_departamento,sexo,count
AMAZONAS,F,894
AMAZONAS,M,1423
ANTIOQUIA,F,1712
ANTIOQUIA,M,2842
ARAUCA,F,9
ARAUCA,M,70
ATLANTICO,F,5005
ATLANTICO,M,5989
BARRANQUILLA,F,5897
BARRANQUILLA,M,7168
BOGOTA,F,15052
BOGOTA,M,14964
BOLIVAR,F,462
BOLIVAR,M,536
BOYACA,F,183
BOYACA,M,195
CALDAS,F,154
CALDAS,M,108
CAQUETA,F,14
CAQUETA,M,25
CARTAGENA,F,3698
CARTAGENA,M,4635
CASANARE,F,23
CASANARE,M,46
CAUCA,F,187
CAUCA,M,215
CESAR,F,532
CESAR,M,524
CHOCO,F,747
CHOCO,M,889
CORDOBA,F,423
CORDOBA,M,384
CUNDINAMARCA,F,1456
CUNDINAMARCA,M,1371
GUAINIA,F,6
GUAINIA,M,8
GUAJIRA,F,195
GUAJIRA,M,275
GUAVIARE,F,4
GUAVIARE,M,35
HUILA,F,171
HUILA,M,169
MAGDALENA,F,421
MAGDALENA,M,448
META,F,197
META,M,1072
NARIÑO,F,1607
NARIÑO,M,1913
NORTE SANTANDER,F,153
NORTE SANTANDER,M,190
PUTUMAYO,F,13
PUTUMAYO,M,15
QUINDIO,F,93
QUINDIO,M,74
RISARALDA,F,292
RISARALDA,M,253
SAN ANDRES,F,7
SAN ANDRES,M,16
SANTANDER,F,272
SANTANDER,M,484
STA MARTA D.E.,F,510
STA MARTA D.E.,M,512
SUCRE,F,603
SUCRE,M,714
TOLIMA,F,292
TOLIMA,M,721
VALLE,F,4608
VALLE,M,5796
VAUPES,F,10
VAUPES,M,18
VICHADA,M,1
